,phi,theta,psi,delta,xr,yr,zr
76,-0.05804536885391985,-0.3943297731621292,-0.96940366649673,1.0088156338158343,1162.748586530369,-134904317.3050732,617.0956807992125
77,-0.02638155994624801,-0.40559144414310916,-0.9982819236190354,1.0166075640327017,1164.6472376790737,-134904317.3050732,617.1879145315917
78,0.02688175748058258,-0.41360790521662916,-1.033664858065768,1.0313174591981096,1167.9046870807201,-134904317.3050732,617.3699350634207
79,0.07424178530270203,-0.42211918877695725,-1.05956215291659,1.0653750554382064,1174.3473904899613,-134904317.3050732,617.7703637310823
80,0.13454142497830024,-0.43118153095931633,-1.0752017214286644,1.1116505919287967,1182.3302603471273,-134904317.3050732,618.3596656617308
81,0.15065506725104902,-0.4315276732777976,-1.1099827098592572,1.1714033524360405,1191.879232611068,-134904317.3050732,619.1510002380344
82,0.1565836741179519,-0.44356284653710293,-1.1247222322742452,1.20150739152999,1197.0172716996974,-134904317.3050732,619.5442385649568
83,0.1818840866274387,-0.4541482253496678,-1.167569613464552,1.395807579356706,1229.8811833812342,-269808634.6101569,623.9758512678
84,0.19580103706671548,-0.46853113042035915,-1.181148753381705,1.3978753917620628,1230.169254339251,-269808634.6101569,624.0096154577878
85,0.21131811882314777,-0.48468004582845897,-1.2103701142213106,1.402550848853812,1231.1050724892482,-269808634.6101569,624.1178937458099
86,0.21513762182437213,-0.44272442216844327,-1.2409387679558581,1.4107847563471174,1233.0921109208984,-269808634.6101569,624.3439371657407
87,0.21154483286421694,-0.47805706638544493,-1.2753248356720177,1.5115316368238383,1252.4429695318584,-539617269.2203195,628.0090541356666
88,0.21652699179400473,-0.4910845838198212,-1.2834961583596478,1.5122581588553003,1252.6253124210423,-539617269.2203195,628.0355688690604
89,0.24049916938636226,-0.4925122704248356,-1.3201169884621327,1.5141726133007638,1253.508900106454,-539617269.2203195,628.1602421627599
90,0.1851070878384296,-0.47098187755259485,-1.3746114097198,1.5233876877207821,1257.4743652844547,-539617269.2203195,628.7681269484069
91,0.1883439035416557,-0.4965306325673175,-1.3752347494311623,1.5239688359682986,1257.8069237103962,-539617269.2203195,628.8313429424292
92,0.23545762631545408,-0.46678007880565237,-1.4061326007929216,1.5302560818514686,1261.9996821364302,-539617269.2203195,629.8651141407624
93,0.22536219874231797,-0.500968059568918,-1.4067246821551156,1.5309121113989421,1262.361873799262,-539617269.2203195,629.962674438591
